title,date,rating_imdb,rating_erik,rating_knud
Sliding Frasiers,2001-02-13,7.9,8,7
Slow Tango in South Seattle,1994-09-20,7.8,7,7
Some Assembly Required,2003-04-01,7,5,6
Someone to Watch Over Me,1995-03-28,8.1,6,6
Something About Dr. Mary,2000-02-17,7.6,7,7
"Something Borrowed, Someone Blue: Part 1",2000-05-18,8.7,8,9
"Something Borrowed, Someone Blue: Part 2",2000-05-18,9.1,8,8
Space Quest,1993-09-23,8.1,8,6
Star Mitzvah,2002-11-05,8.4,6,9
Sweet Dreams,1998-05-19,7.7,6,6
Taking Liberties,2000-11-21,8.6,8,8
Tales from the Crypt,2002-10-29,7.9,5,8
Taps at the Montana,1999-03-25,8,6,8
The 1000th Show,1997-11-11,7.8,7,5
The Adventures of Bad Boy and Dirty Girl,1995-11-21,8.4,6,8
The Ann Who Came to Dinner,2004-01-13,7.1,5,5
The Apparent Trap,1999-11-18,7.8,6,6
The Babysitter,2003-10-07,7.8,7,7
The Bad Son,2000-10-31,7.5,7,6
The Botched Language of Cranes,1994-11-01,8.1,7,7
The Candidate,1994-11-08,8.3,7,6
The Club,1995-03-21,8.1,6,6
The Crucible,1993-10-21,7.7,8,4
The Devil & Dr. Phil,2003-04-29,7.2,5,5
The Doctor Is Out,2003-09-30,9.2,8,7
The Dog That Rocks the Cradle,1999-10-21,7.6,5,5
The Fight Before Christmas,1999-12-16,8.3,8,7
The First Temptation of Daphne,2001-10-02,7.7,6,6
The Focus Group,1996-05-14,8,6,6
The Friend,1996-01-16,7.1,5,6
The Gift Horse,1997-09-30,8.4,6,9
The Good Son,1993-09-16,8.6,10,8
The Great Crane Robbery,2000-11-14,7.4,7,6
The Guilt Trippers,2002-05-14,7.7,6,5
The Harassed,2003-01-14,7.3,6,6
The Impossible Dream,1996-10-15,8.2,9,5
The Innkeepers,1995-05-16,9,8,6
The Kid,1997-11-04,7.9,7,6
The Last Time I Saw Maris,1995-11-28,8.3,5,8
The Late Dr. Crane,1999-11-18,7.9,7,8
The Life of the Party,1998-05-12,8.3,7,8
The Love You Fake,2002-04-09,8,7,8
The Maris Counselor,1998-02-03,8.2,7,7
The Matchmaker,1994-10-04,9.3,10,9
The New Friend,2000-12-05,7.6,7,6
The Perfect Guy,1998-03-24,8.1,8,7
The Placeholder,2003-10-14,7.4,8,7
The Proposal,2002-02-05,8.2,8,9
The Return of Martin Crane,2001-10-09,8.2,6,8
The Ring Cycle,2002-09-24,8.1,7,9
The Seal Who Came to Dinner,1998-11-19,8.3,7,5
The Show Must Go Off,2001-02-06,8.3,5,5
The Show Where Diane Comes Back,1996-02-13,7.9,5,7
The Show Where Lilith Comes Back,1994-02-03,8.4,7,9
The Show Where Sam Shows Up,1995-02-21,8,6,7
The Show Where Woody Shows Up,1999-02-04,7.3,5,7
The Ski Lodge,1998-02-24,9.6,9,9
The Three Faces of Frasier,2000-05-04,7.6,6,5
The Two Hundredth,2001-11-13,7.7,7,6
The Two Mrs. Cranes,1996-09-17,9.1,10,9
The Unkindest Cut of All,1994-09-27,7.7,8,8
The Unnatural,1997-04-01,7.7,7,6
The Wizard and Roz,2001-05-08,7.6,6,7
The Zoo Story,1998-01-20,7.9,5,7
They're Playing Our Song,2000-01-13,8.2,7,9
Three Blind Dates,2002-03-05,7.7,8,6
Three Dates and a Breakup,1997-04-29,8.3,8,6
Three Days of the Condo,1997-01-21,8,7,7
Three Valentines,1999-02-11,9,7,8
To Kill a Talking Bird,1997-02-25,8.7,8,9
To Tell the Truth,1999-02-18,8.3,6,8
To Thine Old Self Be True,2000-04-27,8.3,8,8
Travels with Martin,1994-04-14,8.8,8,8
Trophy Girlfriend,2003-02-18,7.9,7,8
Visions of Daphne,1999-05-13,8.4,6,8
Voyage of the Damned,1997-11-18,8.2,6,6
War of the Words,2002-03-12,7.3,7,5
We Two Kings,2002-12-10,7.5,6,7
Wheels of Fortune,2002-02-26,7.8,7,6
When a Man Loves Two Women,1999-05-05,8,8,8
Where Every Bloke Knows Your Name,1998-01-06,7.7,7,6
"Where There's Smoke, There's Fired",1996-04-30,8.1,7,6
Whine Club,2000-02-24,7.8,7,8
You Can Go Home Again,1996-05-21,8.3,6,7
You Can't Tell a Crook by His Cover,1994-01-27,7.8,7,7
You Scratch My Book...,1995-02-14,7.9,7,7
Daphne's Room,1995-02-28,8.9,6,9
The Dinner Party,1999-03-11,8.3,9,7
"Goodnight, Seattle: Part 2",2004-05-13,9.2,10,8
